epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.149,1.20919,7.96628,1.19966,0.00296,0.12063,0.00561,0.00418,1.11189,7.24808,1.16287,9.86e-06,9.86e-06,9.86e-06
2,552.799,1.15508,6.33067,1.15312,0.01544,0.11575,0.01485,0.01187,0.96817,6.56934,1.09793,1.98981e-05,1.98981e-05,1.98981e-05
3,817.359,1.09116,5.17453,1.129,0.4429,0.11082,0.06425,0.05157,0.91114,5.30965,1.07131,2.95227e-05,2.95227e-05,2.95227e-05
4,1080.09,1.1052,4.20869,1.14906,0.65317,0.14045,0.14764,0.11662,0.89483,4.58521,1.06362,3.87339e-05,3.87339e-05,3.87339e-05
5,1343.89,1.03683,3.75188,1.09391,0.696,0.16106,0.21493,0.16836,0.86043,3.96425,1.03809,4.75317e-05,4.75317e-05,4.75317e-05
6,1606.94,1.01495,3.23206,1.11981,0.68512,0.2213,0.24708,0.19575,0.83682,3.30919,1.03846,5.2258e-05,5.2258e-05,5.2258e-05
7,1869.42,1.01779,2.86667,1.12258,0.69172,0.24297,0.30068,0.24387,0.8291,2.93439,1.04106,5.11096e-05,5.11096e-05,5.11096e-05
8,2131.54,1.00126,2.7247,1.08989,0.67441,0.29461,0.33211,0.26645,0.85191,2.7617,1.0558,4.99612e-05,4.99612e-05,4.99612e-05
9,2394.79,0.95854,2.39528,1.08131,0.8385,0.27473,0.35145,0.28402,0.84876,2.50295,1.06376,4.88128e-05,4.88128e-05,4.88128e-05
10,2657.65,0.92904,2.41872,1.05779,0.65169,0.37929,0.4331,0.3486,0.84725,2.48329,1.05855,4.76644e-05,4.76644e-05,4.76644e-05
11,2922.03,0.95716,2.27193,1.06829,0.72554,0.37821,0.48085,0.39332,0.84993,2.36419,1.06217,4.6516e-05,4.6516e-05,4.6516e-05
12,3185.71,0.91359,2.06828,1.05591,0.73834,0.45724,0.50245,0.4095,0.84793,2.20778,1.05674,4.53676e-05,4.53676e-05,4.53676e-05
13,3448.03,0.96666,2.122,1.08525,0.73508,0.46923,0.52465,0.4323,0.84405,2.19367,1.04734,4.42192e-05,4.42192e-05,4.42192e-05
14,3711.66,0.95671,2.06124,1.09224,0.8475,0.36817,0.5129,0.4184,0.82974,2.15071,1.04477,4.30708e-05,4.30708e-05,4.30708e-05
15,3974.62,0.90005,1.92085,1.06265,0.69056,0.47695,0.51004,0.4111,0.82468,2.05485,1.04346,4.19224e-05,4.19224e-05,4.19224e-05
16,4238.31,0.89729,1.8697,1.02743,0.67918,0.49575,0.51518,0.41569,0.82843,2.02897,1.04428,4.0774e-05,4.0774e-05,4.0774e-05
17,4500.24,0.89202,1.75455,1.056,0.73278,0.48183,0.51694,0.41706,0.81326,1.97768,1.03527,3.96256e-05,3.96256e-05,3.96256e-05
18,4760.92,0.89538,1.71485,1.04351,0.74761,0.49907,0.53118,0.42998,0.82004,1.90887,1.03781,3.84772e-05,3.84772e-05,3.84772e-05
19,5023.84,0.91137,1.70082,1.04031,0.73766,0.48714,0.53016,0.43202,0.81434,1.89121,1.03848,3.73288e-05,3.73288e-05,3.73288e-05
20,5284.02,0.93761,1.66163,1.06016,0.78081,0.49242,0.53429,0.43512,0.80443,1.89331,1.03378,3.61804e-05,3.61804e-05,3.61804e-05
21,5546.44,0.85726,1.49912,1.03005,0.76711,0.4913,0.54506,0.44583,0.80183,1.82247,1.03752,3.5032e-05,3.5032e-05,3.5032e-05
22,5807.27,0.91794,1.6002,1.07192,0.73095,0.48022,0.5429,0.44394,0.79331,1.77995,1.03231,3.38836e-05,3.38836e-05,3.38836e-05
23,6070.36,0.88205,1.54649,1.04725,0.71683,0.50436,0.54573,0.44895,0.80197,1.76031,1.02855,3.27352e-05,3.27352e-05,3.27352e-05
24,6332.36,0.84696,1.38426,0.99586,0.71768,0.49759,0.53835,0.43807,0.80271,1.72298,1.02715,3.15868e-05,3.15868e-05,3.15868e-05
25,6593.63,0.81804,1.36254,1.01759,0.65158,0.52673,0.53738,0.44157,0.79194,1.70043,1.02906,3.04384e-05,3.04384e-05,3.04384e-05
26,6853.89,0.84093,1.39955,1.0082,0.7711,0.50158,0.54901,0.45252,0.77951,1.67348,1.02376,2.929e-05,2.929e-05,2.929e-05
27,7115.27,0.86233,1.34785,1.03357,0.7912,0.49047,0.54932,0.45119,0.78439,1.70058,1.02427,2.81416e-05,2.81416e-05,2.81416e-05
28,7375.08,0.82531,1.3141,1.01163,0.78373,0.45423,0.53927,0.43999,0.79388,1.69547,1.02714,2.69932e-05,2.69932e-05,2.69932e-05
29,7635.12,0.83983,1.34309,1.02333,0.73102,0.45462,0.53352,0.43455,0.79759,1.68922,1.03135,2.58448e-05,2.58448e-05,2.58448e-05
30,7895.38,0.83369,1.30995,1.00875,0.59869,0.52528,0.5387,0.43307,0.79496,1.66806,1.0335,2.46964e-05,2.46964e-05,2.46964e-05
31,8155.47,0.82712,1.32244,1.0167,0.598,0.52171,0.52885,0.42791,0.79533,1.65081,1.03421,2.3548e-05,2.3548e-05,2.3548e-05
32,8413.56,0.80387,1.19978,1.00317,0.60732,0.55079,0.53964,0.43909,0.78698,1.60862,1.02439,2.23996e-05,2.23996e-05,2.23996e-05
33,8749.14,0.82515,1.31287,1.00946,0.67229,0.52122,0.54959,0.44642,0.78556,1.62178,1.02039,2.12512e-05,2.12512e-05,2.12512e-05
34,9302.7,0.79372,1.22337,0.99337,0.76762,0.48627,0.54206,0.4404,0.7912,1.60655,1.02183,2.01028e-05,2.01028e-05,2.01028e-05
35,9830.21,0.83654,1.22892,1.01279,0.82108,0.46623,0.54424,0.44265,0.79923,1.56847,1.02766,1.89544e-05,1.89544e-05,1.89544e-05
36,10380.8,0.82847,1.21734,1.01985,0.83235,0.46786,0.54619,0.44875,0.78439,1.56795,1.02403,1.7806e-05,1.7806e-05,1.7806e-05
37,10906.1,0.7622,1.07339,0.96596,0.79686,0.48133,0.54798,0.4534,0.77728,1.59526,1.02139,1.66576e-05,1.66576e-05,1.66576e-05
38,11186.5,0.79137,1.17156,1.00357,0.67315,0.52902,0.5513,0.45299,0.78452,1.58378,1.02072,1.55092e-05,1.55092e-05,1.55092e-05
39,11443.7,0.79065,1.22695,1.02614,0.61515,0.58086,0.55068,0.45195,0.80478,1.58056,1.02548,1.43608e-05,1.43608e-05,1.43608e-05
